TrialNumber,AlienImageFile,ItemImageFile,Item,WordImageFile,WordForm,Individualidentity,Species,Flower
1,A1_1.png,Plural1.png,kabuqgok,kabuqgok.png,Plural1,A1,A,1
2,A2_1.png,Plural2.png,bupodgok,bupodgok.png,Plural2,A2,A,1
3,A3_1.png,Plural3.png,hasotgok,hasotgok.png,Plural3,A3,A,1
4,A4_1.png,Plural4.png,wejungok,wejungok.png,Plural4,A4,A,1
5,A1_1.png,Plural5.png,kenigdem,kenigdem.png,Plural5,A1,A,1
6,A2_1.png,Plural6.png,tulimurdem,tulimurdem.png,Plural6,A2,A,1
7,A3_1.png,Plural7.png,petiletdem,petiletdem.png,Plural7,A3,A,1
8,A4_1.png,Plural8.png,ropukodem,ropukodem.png,Plural8,A4,A,1
9,A1_2.png,Plural1.png,kabuqgok,kabuqgok.png,Plural1,A1,A,2
10,A2_2.png,Plural2.png,bupodgok,bupodgok.png,Plural2,A2,A,2
11,A3_2.png,Plural3.png,hasotgok,hasotgok.png,Plural3,A3,A,2
12,A4_2.png,Plural4.png,wejungok,wejungok.png,Plural4,A4,A,2
13,A1_2.png,Plural5.png,kenigdem,kenigdem.png,Plural5,A1,A,2
14,A2_2.png,Plural6.png,tulimurdem,tulimurdem.png,Plural6,A2,A,2
15,A3_2.png,Plural7.png,petiletdem,petiletdem.png,Plural7,A3,A,2
16,A4_1.png,Plural8.png,ropukodem,ropukodem.png,Plural8,A4,A,2
17,B1_1.png,Plural1.png,kabuqgok,kabuqgok.png,Plural1,B1,B,1
18,B2_1.png,Plural2.png,bupodgok,bupodgok.png,Plural2,B2,B,1
19,B3_1.png,Plural3.png,hasotgok,hasotgok.png,Plural3,B3,B,1
20,B4_1.png,Plural4.png,wejungok,wejungok.png,Plural4,B4,B,1
21,B1_1.png,Plural5.png,kenigdem,kenigdem.png,Plural5,B1,B,1
22,B2_1.png,Plural6.png,tulimurdem,tulimurdem.png,Plural6,B2,B,1
23,B3_1.png,Plural7.png,petiletdem,petiletdem.png,Plural7,B3,B,1
24,B4_1.png,Plural8.png,ropukodem,ropukodem.png,Plural8,B4,B,1
25,B1_2.png,Plural1.png,kabuqgok,kabuqgok.png,Plural1,B1,B,2
26,B2_2.png,Plural2.png,bupodgok,bupodgok.png,Plural2,B2,B,2
27,B3_2.png,Plural3.png,hasotgok,hasotgok.png,Plural3,B3,B,2
28,B4_2.png,Plural4.png,wejungok,wejungok.png,Plural4,B4,B,2
29,B1_2.png,Plural5.png,kenigdem,kenigdem.png,Plural5,B1,B,2
30,B2_2.png,Plural6.png,tulimurdem,tulimurdem.png,Plural6,B2,B,2
31,B3_2.png,Plural7.png,petiletdem,petiletdem.png,Plural7,B3,B,2
32,B4_2.png,Plural8.png,ropukodem,ropukodem.png,Plural8,B4,B,2
33,C1_1.png,Plural1.png,kabuqgok,kabuqgok.png,Plural1,C1,C,1
34,C2_1.png,Plural2.png,bupodgok,bupodgok.png,Plural2,C2,C,1
35,C3_1.png,Plural3.png,hasotgok,hasotgok.png,Plural3,C3,C,1
36,C4_1.png,Plural4.png,wejungok,wejungok.png,Plural4,C4,C,1
37,C1_1.png,Plural5.png,kenigdem,kenigdem.png,Plural5,C1,C,1
38,C2_1.png,Plural6.png,tulimurdem,tulimurdem.png,Plural6,C2,C,1
39,C3_1.png,Plural7.png,petiletdem,petiletdem.png,Plural7,C3,C,1
40,C4_1.png,Plural8.png,ropukodem,ropukodem.png,Plural8,C4,C,1
41,C1_2.png,Plural1.png,kabuqgok,kabuqgok.png,Plural1,C1,C,2
42,C2_2.png,Plural2.png,bupodgok,bupodgok.png,Plural2,C2,C,2
43,C3_2.png,Plural3.png,hasotgok,hasotgok.png,Plural3,C3,C,2
44,C4_2.png,Plural4.png,wejungok,wejungok.png,Plural4,C4,C,2
45,C1_2.png,Plural5.png,kenigdem,kenigdem.png,Plural5,C1,C,2
46,C2_2.png,Plural6.png,tulimurdem,tulimurdem.png,Plural6,C2,C,2
47,C3_2.png,Plural7.png,petiletdem,petiletdem.png,Plural7,C3,C,2
48,C4_2.png,Plural8.png,ropukodem,ropukodem.png,Plural8,C4,C,2
